Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
26, 0.7435166666666667, 0.9776,0.9755,0.9434,0.9248,0.9461,0.9039,0.9711,0.947,0.8867,0.9032
27, 0.7426333333333334, 0.9761,0.9735,0.9415,0.9205,0.947,0.9094,0.9671,0.9517,0.891,0.9074
28, 0.7437833333333334, 0.9772,0.9717,0.9402,0.9237,0.9431,0.9036,0.9688,0.9545,0.892,0.9018
29, 0.7447333333333334, 0.98,0.9759,0.9423,0.9232,0.9457,0.9064,0.9714,0.9527,0.891,0.9092
30, 0.743, 0.9769,0.9746,0.9434,0.9249,0.9466,0.9035,0.9687,0.9504,0.892,0.9077
31, 0.7441833333333333, 0.9762,0.9759,0.9421,0.9282,0.9431,0.9072,0.9703,0.9496,0.8916,0.9099
32, 0.7445666666666667, 0.9753,0.9754,0.9418,0.9222,0.946,0.9089,0.9701,0.9497,0.8841,0.9068
33, 0.7440833333333333, 0.9772,0.9756,0.9449,0.9269,0.9468,0.9083,0.9725,0.9504,0.8915,0.9085
34, 0.7446, 0.9769,0.975,0.9453,0.9249,0.9505,0.9059,0.9703,0.9533,0.887,0.9058
35, 0.7443833333333333, 0.9747,0.9743,0.9387,0.9241,0.9478,0.9038,0.9706,0.9516,0.8886,0.9078
36, 0.7438666666666667, 0.9788,0.9741,0.9422,0.926,0.9487,0.9032,0.9712,0.9518,0.8922,0.9075
37, 0.7456333333333334, 0.9766,0.9756,0.9436,0.9255,0.9485,0.9091,0.9695,0.9528,0.8899,0.9054
38, 0.7448666666666667, 0.977,0.9742,0.9443,0.9201,0.9492,0.9079,0.9702,0.9504,0.8982,0.9058
39, 0.7447833333333334, 0.9768,0.9767,0.9442,0.9267,0.9488,0.904,0.9746,0.9527,0.8957,0.9043
40, 0.7461833333333333, 0.9788,0.9741,0.9421,0.9255,0.9448,0.9069,0.9724,0.9504,0.8895,0.9076
41, 0.7438, 0.9796,0.9746,0.943,0.9226,0.946,0.9056,0.9704,0.9548,0.8982,0.9125
42, 0.7461, 0.9797,0.9756,0.9417,0.9208,0.9465,0.9093,0.9728,0.951,0.8963,0.9084
43, 0.7456166666666667, 0.9798,0.9765,0.9399,0.9228,0.9463,0.9046,0.9698,0.9477,0.8925,0.9103
44, 0.74325, 0.9784,0.9743,0.9445,0.9236,0.946,0.9105,0.9712,0.9542,0.8936,0.9069
45, 0.7467, 0.9774,0.977,0.9413,0.9285,0.9432,0.9056,0.9684,0.9538,0.8958,0.9099
46, 0.7454833333333334, 0.9786,0.9758,0.9442,0.9239,0.9457,0.9039,0.9681,0.9505,0.8954,0.91
47, 0.74555, 0.9781,0.9737,0.9419,0.9258,0.9473,0.9107,0.9707,0.9484,0.8925,0.9047
48, 0.7453166666666666, 0.9798,0.9737,0.9448,0.9227,0.9471,0.9097,0.9695,0.9502,0.8956,0.9079
49, 0.7451, 0.9768,0.9759,0.9433,0.9242,0.9473,0.9094,0.9703,0.9523,0.8939,0.9102
Test information

accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0.2335, 0.97,-1,0.89,0.85,0.97,1.0,0.97,0.99,0.66,0.77
