Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
17, 0.74275, 0.9757,0.9747,0.9395,0.9186,0.9406,0.9019,0.9681,0.9498,0.8907,0.9153
18, 0.74405, 0.9765,0.9725,0.9434,0.9229,0.9433,0.9124,0.969,0.9498,0.8912,0.9041
19, 0.7435166666666667, 0.9766,0.9757,0.9421,0.9245,0.9391,0.9008,0.9693,0.9469,0.8891,0.9028
20, 0.744, 0.9776,0.9762,0.9394,0.9158,0.9425,0.9044,0.9683,0.9487,0.8899,0.9065
21, 0.7435833333333334, 0.9761,0.9757,0.9435,0.92,0.9393,0.9073,0.9683,0.9473,0.8919,0.9024
22, 0.74435, 0.9764,0.9765,0.9417,0.9198,0.9393,0.904,0.972,0.9501,0.8923,0.9093
23, 0.74495, 0.9786,0.9751,0.9427,0.9222,0.939,0.9107,0.9688,0.949,0.8966,0.9096
24, 0.7448333333333333, 0.9767,0.9749,0.9424,0.9234,0.9433,0.9068,0.9706,0.9478,0.8917,0.9109
25, 0.7448666666666667, 0.9788,0.9721,0.9471,0.9216,0.9409,0.9067,0.9679,0.95,0.8896,0.9072
26, 0.7442333333333333, 0.9741,0.9746,0.9418,0.9236,0.945,0.9072,0.9722,0.947,0.8929,0.9092
27, 0.74445, 0.9771,0.9737,0.9415,0.9243,0.9452,0.9042,0.9704,0.9501,0.892,0.9075
28, 0.7450166666666667, 0.976,0.9747,0.9451,0.9229,0.9405,0.9064,0.9711,0.9468,0.8903,0.9081
29, 0.74515, 0.9797,0.9747,0.9378,0.9245,0.9447,0.9088,0.9715,0.9464,0.8904,0.9051
30, 0.7446166666666667, 0.9771,0.9766,0.9443,0.9178,0.9434,0.9096,0.9713,0.9446,0.8865,0.9077
31, 0.7466333333333334, 0.9758,0.974,0.945,0.9224,0.9399,0.911,0.9681,0.9478,0.8922,0.9081
32, 0.7451666666666666, 0.9788,0.9731,0.9457,0.9212,0.9436,0.904,0.9679,0.9483,0.8958,0.9047
33, 0.7451666666666666, 0.9777,0.975,0.9415,0.9241,0.9409,0.9094,0.9713,0.95,0.8908,0.9104
34, 0.7439166666666667, 0.9776,0.9723,0.945,0.9185,0.9428,0.9053,0.9699,0.9509,0.8876,0.9072
35, 0.74635, 0.9762,0.9734,0.9486,0.9229,0.9395,0.9061,0.9705,0.9509,0.8972,0.9037
36, 0.7451333333333333, 0.9762,0.9754,0.9439,0.9262,0.9492,0.9053,0.9693,0.9485,0.8942,0.9099
37, 0.7451666666666666, 0.9747,0.9751,0.9414,0.9207,0.9457,0.9106,0.9712,0.9493,0.8928,0.9101
38, 0.74525, 0.9792,0.9726,0.944,0.921,0.9414,0.9089,0.9692,0.9481,0.8858,0.9061
39, 0.7456666666666667, 0.9772,0.9736,0.9419,0.9238,0.942,0.9094,0.9682,0.9506,0.8927,0.9101
40, 0.7447666666666667, 0.9777,0.9759,0.9427,0.9216,0.9427,0.9048,0.9701,0.9513,0.8927,0.9091
41, 0.7472, 0.9775,0.9724,0.9399,0.9249,0.9481,0.9101,0.97,0.948,0.8934,0.9042
42, 0.7461833333333333, 0.9792,0.9756,0.9465,0.9204,0.9445,0.9092,0.9685,0.9494,0.8911,0.9052
43, 0.7471333333333333, 0.9768,0.975,0.94,0.9235,0.9488,0.9075,0.9715,0.9517,0.8944,0.9096
44, 0.7465833333333334, 0.9783,0.9741,0.9447,0.923,0.9457,0.9073,0.9694,0.946,0.8864,0.9115
45, 0.7453833333333333, 0.9769,0.9756,0.9415,0.9225,0.9442,0.9087,0.9688,0.9487,0.8893,0.9066
46, 0.7468, 0.9764,0.974,0.9438,0.9232,0.9416,0.9115,0.9713,0.9511,0.8993,0.9082
47, 0.7466666666666667, 0.9796,0.975,0.9436,0.9221,0.9427,0.9073,0.9698,0.9465,0.8949,0.909
48, 0.7466, 0.9788,0.9751,0.9449,0.9227,0.9466,0.9068,0.9707,0.9517,0.891,0.906
49, 0.7459666666666667, 0.9781,0.9722,0.9445,0.9202,0.9438,0.9078,0.9683,0.9479,0.8904,0.9036
Test information

accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0.2618, 0.96,0.0,0.98,0.86,0.96,0.98,0.96,0.95,0.68,0.84
